NAMESPACE                     NAME                                                       READY   STATUS      RESTARTS       AGE     IP            NODE            NOMINATED NODE   READINESS GATES
cert-manager                  cert-manager-6c6cd69dc5-5f7bb                              1/1     Running     0              5d8h    10.42.2.17    activi-k3-3     <none>           <none>
cert-manager                  cert-manager-cainjector-75cbd9fd8d-fr4tp                   1/1     Running     3 (5d8h ago)   5d8h    10.42.2.16    activi-k3-3     <none>           <none>
cert-manager                  cert-manager-webhook-6868c4c4fc-sjr9m                      1/1     Running     0              5d8h    10.42.0.36    activi-k3-1.0   <none>           <none>
cnpg-smoke-20260524           cnpg-smoke-1                                               2/2     Running     0              2d22h   10.42.0.58    activi-k3-1.0   <none>           <none>
cnpg-smoke-20260524           cnpg-smoke-pgdump-retry-20260524-plkgs                     0/1     Completed   0              2d21h   10.42.0.61    activi-k3-1.0   <none>           <none>
cnpg-smoke-restore-20260524   cnpg-smoke-restore-1                                       1/1     Running     0              2d21h   10.42.0.63    activi-k3-1.0   <none>           <none>
cnpg-system                   barman-cloud-75bc6c6b85-rs95h                              1/1     Running     0              2d22h   10.42.0.56    activi-k3-1.0   <none>           <none>
cnpg-system                   cloudnative-pg-5f84c49747-ffmk4                            1/1     Running     0              2d22h   10.42.0.55    activi-k3-1.0   <none>           <none>
healthchecks                  healthchecks-78b7fc78b5-9xxpz                              1/1     Running     0              28h     10.42.2.35    activi-k3-3     <none>           <none>
healthchecks                  healthchecks-sqlite-backup-29662647-zj6dj                  0/1     Completed   0              23h     10.42.2.45    activi-k3-3     <none>           <none>
healthchecks                  healthchecks-sqlite-backup-manual-20260525-2224-d2hqv      0/1     Completed   0              28h     10.42.2.36    activi-k3-3     <none>           <none>
healthchecks                  healthchecks-sqlite-restore-test-c8lvd                     0/1     Completed   0              28h     10.42.1.40    activi-k3-2     <none>           <none>
hindsight                     hindsight-api-7ff9fc4fbc-wzz8p                             1/1     Running     0              23h     10.42.0.110   activi-k3-1.0   <none>           <none>
hindsight                     hindsight-groq-healthcheck-29664015-wghk8                  0/1     Completed   0              43m     10.42.0.181   activi-k3-1.0   <none>           <none>
hindsight                     hindsight-groq-healthcheck-29664030-xpmqz                  0/1     Completed   0              28m     10.42.0.184   activi-k3-1.0   <none>           <none>
hindsight                     hindsight-groq-healthcheck-29664045-k8blq                  0/1     Completed   0              13m     10.42.0.188   activi-k3-1.0   <none>           <none>
hindsight                     hindsight-ollama-58ffcbf46-c7927                           1/1     Running     0              23h     10.42.1.47    activi-k3-2     <none>           <none>
hindsight                     hindsight-ollama-pull-bge-m3-bxf4h                         0/1     Completed   0              23h     10.42.2.43    activi-k3-3     <none>           <none>
hindsight                     hindsight-postgres-1                                       2/2     Running     0              23h     10.42.0.92    activi-k3-1.0   <none>           <none>
hindsight                     hindsight-postgres-2                                       2/2     Running     0              23h     10.42.2.41    activi-k3-3     <none>           <none>
hindsight                     hindsight-postgres-3                                       2/2     Running     0              23h     10.42.1.49    activi-k3-2     <none>           <none>
hindsight                     hindsight-postgres-pgdump-29662661-xtdnq                   0/1     Completed   0              23h     10.42.0.106   activi-k3-1.0   <none>           <none>
hindsight                     hindsight-postgres-pgdump-manual-verify-rr8vx              0/1     Completed   0              23h     10.42.0.98    activi-k3-1.0   <none>           <none>
hindsight                     hindsight-postgres-pgdump-restore-test-jpx6z               0/1     Completed   0              23h     10.42.0.105   activi-k3-1.0   <none>           <none>
hindsight                     hindsight-ui-b9864ff96-5pgfx                               1/1     Running     0              23h     10.42.2.42    activi-k3-3     <none>           <none>
hindsight                     hindsight-worker-8bc58b44b-dxn2g                           1/1     Running     0              23h     10.42.0.111   activi-k3-1.0   <none>           <none>
ingress-nginx                 ingress-nginx-controller-krv8r                             1/1     Running     0              5d8h    10.0.1.30     activi-k3-3     <none>           <none>
ingress-nginx                 ingress-nginx-controller-nstn7                             1/1     Running     0              5d8h    10.0.1.20     activi-k3-2     <none>           <none>
ingress-nginx                 ingress-nginx-controller-phzrj                             1/1     Running     0              5d8h    10.0.1.10     activi-k3-1.0   <none>           <none>
kube-system                   coredns-dbd8c85f7-8f64r                                    1/1     Running     0              7h56m   10.42.0.123   activi-k3-1.0   <none>           <none>
