NAMESPACE         LAST SEEN   TYPE      REASON               OBJECT                                                       MESSAGE
hindsight         58m         Normal    Scheduled            pod/hindsight-groq-healthcheck-29664000-bjpvt                Successfully assigned hindsight/hindsight-groq-healthcheck-29664000-bjpvt to activi-k3-1.0
longhorn-system   31m         Normal    Scheduled            pod/hindsight-snapshot-hourly-29664027-2bssn                 Successfully assigned longhorn-system/hindsight-snapshot-hourly-29664027-2bssn to activi-k3-1.0
hindsight         16m         Normal    Scheduled            pod/hindsight-ui-root-curl-check                             Successfully assigned hindsight/hindsight-ui-root-curl-check to activi-k3-1.0
hindsight         28m         Normal    Scheduled            pod/hindsight-groq-healthcheck-29664030-xpmqz                Successfully assigned hindsight/hindsight-groq-healthcheck-29664030-xpmqz to activi-k3-1.0
hindsight         15m         Normal    Scheduled            pod/cm-acme-http-solver-wcmm4                                Successfully assigned hindsight/cm-acme-http-solver-wcmm4 to activi-k3-1.0
longhorn-system   41m         Normal    Scheduled            pod/healthchecks-snapshot-hourly-29664017-5htcj              Successfully assigned longhorn-system/healthchecks-snapshot-hourly-29664017-5htcj to activi-k3-3
moneymaker        3m42s       Normal    Scheduled            pod/cm-acme-http-solver-2h8zk                                Successfully assigned moneymaker/cm-acme-http-solver-2h8zk to activi-k3-1.0
longhorn-system   41m         Normal    Scheduled            pod/lh-system-backup-daily-29664017-8799f                    Successfully assigned longhorn-system/lh-system-backup-daily-29664017-8799f to activi-k3-3
hindsight         16m         Normal    Scheduled            pod/hindsight-ui-curl-check                                  Successfully assigned hindsight/hindsight-ui-curl-check to activi-k3-1.0
hindsight         43m         Normal    Scheduled            pod/hindsight-groq-healthcheck-29664015-wghk8                Successfully assigned hindsight/hindsight-groq-healthcheck-29664015-wghk8 to activi-k3-1.0
longhorn-system   41m         Normal    Scheduled            pod/n8n-snapshot-hourly-29664017-jzssf                       Successfully assigned longhorn-system/n8n-snapshot-hourly-29664017-jzssf to activi-k3-1.0
hindsight         13m         Normal    Scheduled            pod/hindsight-groq-healthcheck-29664045-k8blq                Successfully assigned hindsight/hindsight-groq-healthcheck-29664045-k8blq to activi-k3-1.0
longhorn-system   51m         Normal    Scheduled            pod/prod-snapshot-hourly-29664007-85bwh                      Successfully assigned longhorn-system/prod-snapshot-hourly-29664007-85bwh to activi-k3-3
kube-system       7d11h       Warning   DNSConfigForming     pod/coredns-ff8999cc5-flxln                                  Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.2 185.12.64.1 2a01:4ff:ff00::add:1
hindsight         58m         Normal    Pulled               pod/hindsight-groq-healthcheck-29664000-bjpvt                Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         58m         Normal    Created              pod/hindsight-groq-healthcheck-29664000-bjpvt                Created container: groq-healthcheck
hindsight         58m         Normal    SuccessfulCreate     cronjob/hindsight-groq-healthcheck                           Created job hindsight-groq-healthcheck-29664000
