NAME                            STATUS   AGE
cert-manager                    Active   5d9h
cnpg-smoke-20260524             Active   2d23h
cnpg-smoke-restore-20260524     Active   2d22h
cnpg-system                     Active   2d23h
default                         Active   8d
healthchecks                    Active   34h
hindsight                       Active   25h
ingress-nginx                   Active   5d9h
kube-node-lease                 Active   8d
kube-public                     Active   8d
kube-system                     Active   8d
longhorn-system                 Active   6d1h
longhorn-test                   Active   6d
matrix                          Active   4h53m
moneymaker                      Active   11h
monitoring                      Active   2d15h
n8n                             Active   11h
portainer                       Active   8d
velero                          Active   3d
velero-smoke-restore-20260524   Active   3d
velero-smoke-source-20260524    Active   3d
