NAMESPACE         LAST SEEN   TYPE      REASON                   OBJECT                                                        MESSAGE
hindsight         34m         Normal    Scheduled                pod/hindsight-groq-healthcheck-29664090-hw7q4                 Successfully assigned hindsight/hindsight-groq-healthcheck-29664090-hw7q4 to activi-k3-1.0
matrix            47m         Normal    Scheduled                pod/matrix-matrix-stack-postgres-backup-29664077-jpwc4        Successfully assigned matrix/matrix-matrix-stack-postgres-backup-29664077-jpwc4 to activi-k3-1.0
hindsight         23m         Normal    Scheduled                pod/hindsight-postgres-pgdump-29664101-7sfg2                  Successfully assigned hindsight/hindsight-postgres-pgdump-29664101-7sfg2 to activi-k3-1.0
hindsight         4m5s        Normal    Scheduled                pod/hindsight-groq-healthcheck-29664120-lrzdp                 Successfully assigned hindsight/hindsight-groq-healthcheck-29664120-lrzdp to activi-k3-1.0
longhorn-system   47m         Normal    Scheduled                pod/healthchecks-snapshot-hourly-29664077-2zz8b               Successfully assigned longhorn-system/healthchecks-snapshot-hourly-29664077-2zz8b to activi-k3-3
healthchecks      37m         Normal    Scheduled                pod/healthchecks-sqlite-backup-29664087-zttgr                 Successfully assigned healthchecks/healthchecks-sqlite-backup-29664087-zttgr to activi-k3-3
longhorn-system   37m         Normal    Scheduled                pod/hindsight-snapshot-hourly-29664087-dlv66                  Successfully assigned longhorn-system/hindsight-snapshot-hourly-29664087-dlv66 to activi-k3-1.0
hindsight         49m         Normal    Scheduled                pod/hindsight-groq-healthcheck-29664075-6hptm                 Successfully assigned hindsight/hindsight-groq-healthcheck-29664075-6hptm to activi-k3-1.0
longhorn-system   47m         Normal    Scheduled                pod/n8n-snapshot-hourly-29664077-jscpr                        Successfully assigned longhorn-system/n8n-snapshot-hourly-29664077-jscpr to activi-k3-1.0
hindsight         19m         Normal    Scheduled                pod/hindsight-groq-healthcheck-29664105-vn6dr                 Successfully assigned hindsight/hindsight-groq-healthcheck-29664105-vn6dr to activi-k3-1.0
longhorn-system   57m         Normal    Scheduled                pod/prod-snapshot-hourly-29664067-wtqzd                       Successfully assigned longhorn-system/prod-snapshot-hourly-29664067-wtqzd to activi-k3-1.0
kube-system       7d12h       Warning   DNSConfigForming         pod/coredns-ff8999cc5-flxln                                   Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.2 185.12.64.1 2a01:4ff:ff00::add:1
longhorn-system   57m         Normal    Started                  pod/prod-snapshot-hourly-29664067-wtqzd                       Started container prod-snapshot-hourly
longhorn-system   57m         Normal    SuccessfulCreate         cronjob/prod-snapshot-hourly                                  Created job prod-snapshot-hourly-29664067
longhorn-system   57m         Normal    Created                  pod/prod-snapshot-hourly-29664067-wtqzd                       Created container: prod-snapshot-hourly
longhorn-system   57m         Normal    Pulled                   pod/prod-snapshot-hourly-29664067-wtqzd                       Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   57m         Normal    SuccessfulCreate         job/prod-snapshot-hourly-29664067                             Created pod: prod-snapshot-hourly-29664067-wtqzd
longhorn-system   57m         Normal    Update                   snapshot/prod-sna-bb43712b-75dc-4117-bf75-93567e4494ea        snapshot becomes ready to use
longhorn-system   57m         Normal    Create                   snapshot/prod-sna-bb43712b-75dc-4117-bf75-93567e4494ea        successfully provisioned the snapshot
longhorn-system   57m         Normal    Update                   snapshot/prod-sna-27230670-ea52-4318-9997-26d56cdb59ca        snapshot becomes not ready to use
longhorn-system   56m         Normal    Completed                job/prod-snapshot-hourly-29664067                             Job completed
longhorn-system   56m         Normal    SuccessfulDelete         cronjob/prod-snapshot-hourly                                  Deleted job prod-snapshot-hourly-29664007
longhorn-system   56m         Normal    SawCompletedJob          cronjob/prod-snapshot-hourly                                  Saw completed job: prod-snapshot-hourly-29664067, condition: Complete
hindsight         49m         Normal    Created                  pod/hindsight-groq-healthcheck-29664075-6hptm                 Created container: groq-healthcheck
hindsight         49m         Normal    Pulled                   pod/hindsight-groq-healthcheck-29664075-6hptm                 Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         49m         Normal    SuccessfulCreate         cronjob/hindsight-groq-healthcheck                            Created job hindsight-groq-healthcheck-29664075
hindsight         49m         Normal    SuccessfulCreate         job/hindsight-groq-healthcheck-29664075                       Created pod: hindsight-groq-healthcheck-29664075-6hptm
hindsight         49m         Normal    Started                  pod/hindsight-groq-healthcheck-29664075-6hptm                 Started container groq-healthcheck
hindsight         49m         Normal    Completed                job/hindsight-groq-healthcheck-29664075                       Job completed
hindsight         49m         Normal    SawCompletedJob          cronjob/hindsight-groq-healthcheck                            Saw completed job: hindsight-groq-healthcheck-29664075, condition: Complete
hindsight         49m         Normal    SuccessfulDelete         cronjob/hindsight-groq-healthcheck                            Deleted job hindsight-groq-healthcheck-29664030
longhorn-system   47m         Normal    Pulled                   pod/healthchecks-snapshot-hourly-29664077-2zz8b               Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   47m         Normal    SuccessfulCreate         job/healthchecks-snapshot-hourly-29664077                     Created pod: healthchecks-snapshot-hourly-29664077-2zz8b
longhorn-system   47m         Normal    Created                  pod/n8n-snapshot-hourly-29664077-jscpr                        Created container: n8n-snapshot-hourly
matrix            47m         Normal    SuccessfulCreate         cronjob/matrix-matrix-stack-postgres-backup                   Created job matrix-matrix-stack-postgres-backup-29664077
longhorn-system   47m         Normal    Started                  pod/n8n-snapshot-hourly-29664077-jscpr                        Started container n8n-snapshot-hourly
matrix            47m         Normal    SuccessfulCreate         job/matrix-matrix-stack-postgres-backup-29664077              Created pod: matrix-matrix-stack-postgres-backup-29664077-jpwc4
longhorn-system   47m         Normal    SuccessfulCreate         job/n8n-snapshot-hourly-29664077                              Created pod: n8n-snapshot-hourly-29664077-jscpr
longhorn-system   47m         Normal    Start                    replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-7f9266d6   Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-7f9266d6
longhorn-system   47m         Normal    SuccessfulCreate         cronjob/healthchecks-snapshot-hourly                          Created job healthchecks-snapshot-hourly-29664077
longhorn-system   47m         Normal    Start                    replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-9ca8afa2   Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-9ca8afa2
longhorn-system   47m         Normal    Started                  pod/healthchecks-snapshot-hourly-29664077-2zz8b               Started container healthchecks-snapshot-hourly
longhorn-system   47m         Normal    Created                  pod/healthchecks-snapshot-hourly-29664077-2zz8b               Created container: healthchecks-snapshot-hourly
longhorn-system   47m         Normal    Pulled                   pod/n8n-snapshot-hourly-29664077-jscpr                        Container image "docker.io/longhornio/longhorn-manager:v1.11.2" already present on machine
longhorn-system   47m         Normal    SuccessfulCreate         cronjob/n8n-snapshot-hourly                                   Created job n8n-snapshot-hourly-29664077
longhorn-system   47m         Normal    Start                    replica/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-c9f4319d   Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-r-c9f4319d
longhorn-system   47m         Normal    Start                    engine/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-e-0           Starts pvc-b394b979-0996-4f72-adc1-a4aa4be71caf-e-0
longhorn-system   47m         Normal    SuccessfulDelete         cronjob/n8n-snapshot-hourly                                   Deleted job n8n-snapshot-hourly-29664017
longhorn-system   47m         Normal    SawCompletedJob          cronjob/n8n-snapshot-hourly                                   Saw completed job: n8n-snapshot-hourly-29664077, condition: Complete
longhorn-system   47m         Normal    Completed                job/n8n-snapshot-hourly-29664077                              Job completed
longhorn-system   47m         Normal    Attached                 volume/pvc-b394b979-0996-4f72-adc1-a4aa4be71caf               volume pvc-b394b979-0996-4f72-adc1-a4aa4be71caf has been attached to activi-k3-1.0
