NAMESPACE                     NAME                                             ENDPOINTS                                                     AGE
cert-manager                  cert-manager                                     10.42.2.17:9402                                               5d9h
cert-manager                  cert-manager-cainjector                          10.42.2.16:9402                                               5d9h
cert-manager                  cert-manager-webhook                             10.42.0.36:10250,10.42.0.36:9402                              5d9h
cnpg-smoke-20260524           cnpg-smoke-r                                     10.42.0.58:5432                                               2d23h
cnpg-smoke-20260524           cnpg-smoke-ro                                    <none>                                                        2d23h
cnpg-smoke-20260524           cnpg-smoke-rw                                    10.42.0.58:5432                                               2d23h
cnpg-smoke-restore-20260524   cnpg-smoke-restore-r                             10.42.0.63:5432                                               2d22h
cnpg-smoke-restore-20260524   cnpg-smoke-restore-ro                            <none>                                                        2d22h
cnpg-smoke-restore-20260524   cnpg-smoke-restore-rw                            10.42.0.63:5432                                               2d22h
cnpg-system                   barman-cloud                                     10.42.0.56:9090                                               2d23h
cnpg-system                   cnpg-webhook-service                             10.42.0.55:9443                                               2d23h
default                       kubernetes                                       10.0.1.10:6443,10.0.1.20:6443,10.0.1.30:6443                  8d
healthchecks                  healthchecks                                     10.42.2.35:8000                                               32h
hindsight                     hindsight-api                                    10.42.0.110:8888                                              24h
hindsight                     hindsight-ollama                                 10.42.1.47:11434                                              24h
hindsight                     hindsight-postgres-r                             10.42.0.92:5432,10.42.1.49:5432,10.42.2.41:5432               24h
hindsight                     hindsight-postgres-ro                            10.42.1.49:5432,10.42.2.41:5432                               24h
hindsight                     hindsight-postgres-rw                            10.42.0.92:5432                                               24h
hindsight                     hindsight-ui                                     10.42.2.42:9999                                               24h
ingress-nginx                 ingress-nginx-controller-admission               10.0.1.10:8443,10.0.1.20:8443,10.0.1.30:8443                  5d9h
kube-system                   kube-dns                                         10.42.0.123:53,10.42.0.123:53,10.42.0.123:9153                8d
kube-system                   kube-prometheus-stack-coredns                    10.42.0.123:9153                                              2d15h
kube-system                   kube-prometheus-stack-kubelet                    10.0.1.10:10250,10.0.1.20:10250,10.0.1.30:10250 + 6 more...   2d15h
kube-system                   metrics-server                                   10.42.0.6:10250                                               8d
longhorn-system               longhorn-admission-webhook                       10.42.0.24:9502,10.42.1.4:9502,10.42.2.2:9502                 6d1h
longhorn-system               longhorn-backend                                 10.42.0.24:9500,10.42.1.4:9500,10.42.2.2:9500                 6d1h
longhorn-system               longhorn-frontend                                10.42.1.2:8000,10.42.2.3:8000                                 6d1h
longhorn-system               longhorn-recovery-backend                        10.42.0.24:9503,10.42.1.4:9503,10.42.2.2:9503                 6d1h
matrix                        matrix-matrix-stack-element                      10.42.0.159:80                                                4h9m
matrix                        matrix-matrix-stack-ketesa                       10.42.1.72:8080                                               4h9m
matrix                        matrix-matrix-stack-postgres                     10.42.0.164:5432                                              4h9m
matrix                        matrix-matrix-stack-synapse                      10.42.0.163:8008                                              4h9m
moneymaker                    dograh-api                                       10.42.1.85:8000                                               3h40m
moneymaker                    dograh-minio                                     10.42.0.165:9001,10.42.0.165:9000                             3h40m
moneymaker                    dograh-postgres-r                                10.42.0.167:5432,10.42.1.84:5432,10.42.2.157:5432             3h40m
moneymaker                    dograh-postgres-ro                               10.42.0.167:5432,10.42.1.84:5432                              3h40m
moneymaker                    dograh-postgres-rw                               10.42.2.157:5432                                              3h40m
moneymaker                    dograh-redis                                     10.42.1.79:6379                                               3h40m
moneymaker                    dograh-ui                                        10.42.1.81:3010                                               3h40m
monitoring                    alertmanager-operated                            10.42.1.15:9094,10.42.1.15:9094,10.42.1.15:9093               2d15h
monitoring                    blackbox-exporter                                10.42.0.84:9115                                               27h
monitoring                    kube-prometheus-stack-alertmanager               10.42.1.15:8080,10.42.1.15:9093                               2d15h
monitoring                    kube-prometheus-stack-grafana                    10.42.2.22:3000                                               2d15h
monitoring                    kube-prometheus-stack-kube-state-metrics         10.42.2.20:8080                                               2d15h
monitoring                    kube-prometheus-stack-operator                   10.42.0.68:10250                                              2d15h
monitoring                    kube-prometheus-stack-prometheus                 10.42.0.69:9090,10.42.0.69:8080                               2d15h
monitoring                    kube-prometheus-stack-prometheus-node-exporter   10.0.1.10:9100,10.0.1.20:9100,10.0.1.30:9100                  2d15h
monitoring                    prometheus-operated                              10.42.0.69:9090                                               2d15h
n8n                           n8n                                              10.42.2.152:5678                                              9h
n8n                           n8n-postgres-r                                   10.42.0.114:5432,10.42.1.54:5432,10.42.2.149:5432             9h
n8n                           n8n-postgres-ro                                  10.42.1.54:5432,10.42.2.149:5432                              9h
n8n                           n8n-postgres-rw                                  10.42.0.114:5432                                              9h
n8n                           n8n-redis-headless                               <none>                                                        6h8m
portainer                     portainer                                        10.42.0.71:9443,10.42.0.71:9000,10.42.0.71:8000               8d
velero                        velero                                           10.42.0.53:8085                                               3d
